X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.075487,51.576968,0,0,0,24,2018/01/29 09:40:08+00,,,,,,,,,,,,,,,,,,,,,
0.075485,51.57694,0,0,1,23.9,2018/01/29 09:40:11+00,,,,,,,,,,,,,,,,,,,,,
0.075461,51.576914,0,0,2,23.8,2018/01/29 09:40:13+00,,,,,,,,,,,,,,,,,,,,,
0.075451,51.576897,0,0,3,23.8,2018/01/29 09:40:14+00,,,,,,,,,,,,,,,,,,,,,
0.075412,51.576844,0,0,4,23.6,2018/01/29 09:40:17+00,,,,,,,,,,,,,,,,,,,,,
0.075358,51.576734,0,0,5,23.1,2018/01/29 09:40:22+00,,,,,,,,,,,,,,,,,,,,,
0.075322,51.576638,0,0,6,23,2018/01/29 09:40:27+00,,,,,,,,,,,,,,,,,,,,,
0.075316,51.576622,0,0,7,23,2018/01/29 09:40:28+00,,,,,,,,,,,,,,,,,,,,,
0.075303,51.576587,0,0,8,23.1,2018/01/29 09:40:30+00,,,,,,,,,,,,,,,,,,,,,
0.075267,51.576546,0,0,9,23.2,2018/01/29 09:40:32+00,,,,,,,,,,,,,,,,,,,,,
0.07521,51.576442,0,0,10,23.5,2018/01/29 09:40:36+00,,,,,,,,,,,,,,,,,,,,,
0.075181,51.576383,0,0,11,23.6,2018/01/29 09:40:38+00,,,,,,,,,,,,,,,,,,,,,
0.075072,51.57618,0,0,12,23.8,2018/01/29 09:40:44+00,,,,,,,,,,,,,,,,,,,,,
0.074978,51.575993,0,0,13,24,2018/01/29 09:40:49+00,,,,,,,,,,,,,,,,,,,,,
0.074959,51.575931,0,0,14,24,2018/01/29 09:40:51+00,,,,,,,,,,,,,,,,,,,,,
0.074863,51.57572,0,0,15,23.4,2018/01/29 09:40:57+00,,,,,,,,,,,,,,,,,,,,,
0.074804,51.57561,0,0,16,22.8,2018/01/29 09:41:00+00,,,,,,,,,,,,,,,,,,,,,
0.074738,51.575457,0,0,17,22.2,2018/01/29 09:41:04+00,,,,,,,,,,,,,,,,,,,,,
0.07467,51.575264,0,0,18,21.3,2018/01/29 09:41:09+00,,,,,,,,,,,,,,,,,,,,,
0.07466,51.575213,0,0,19,21.1,2018/01/29 09:41:11+00,,,,,,,,,,,,,,,,,,,,,
0.074679,51.575196,0,0,20,21,2018/01/29 09:41:12+00,,,,,,,,,,,,,,,,,,,,,
0.074759,51.575182,0,0,21,20.9,2018/01/29 09:41:14+00,,,,,,,,,,,,,,,,,,,,,
